Voltage - Ch0, - Ch0,Voltage - Ch1, - Ch1
1.86299,40,0.573926,0
1.87246,45,0.575586,0
1.88193,29,0.577246,0
1.89141,38,0.578906,0
1.90088,35,0.580566,0
1.91035,41,0.582227,0
1.91982,32,0.583887,0
1.9293,38,0.585547,0
1.93877,35,0.587207,0
1.94824,49,0.588867,0
1.95771,38,0.590527,0
1.96719,39,0.592187,0
1.97666,40,0.593848,0
1.98613,40,0.595508,0
1.99561,29,0.597168,0
2.00508,39,0.598828,0
2.01455,37,0.600488,0
2.02402,37,0.602148,0
2.0335,40,0.603809,0
2.04297,35,0.605469,0
2.05244,31,0.607129,0
2.06191,26,0.608789,0
2.07139,39,0.610449,0
2.08086,37,0.612109,0
2.09033,33,0.61377,0
2.0998,28,0.61543,0
2.10928,39,0.61709,0
2.11875,27,0.61875,0
2.12822,37,0.62041,0
2.1377,37,0.62207,0
2.14717,30,0.62373,0
2.15664,55,0.625391,0
2.16611,45,0.627051,0
2.17559,27,0.628711,0
2.18506,29,0.630371,0
2.19453,32,0.632031,0
2.204,42,0.633691,0
2.21348,42,0.635352,0
2.22295,36,0.637012,0
2.23242,48,0.638672,0
2.24189,35,0.640332,0
2.25137,40,0.641992,0
2.26084,29,0.643652,0
2.27031,45,0.645312,0
2.27979,49,0.646973,0
2.28926,42,0.648633,0
2.29873,53,0.650293,0
2.3082,65,0.651953,0
2.31768,58,0.653613,0
2.32715,62,0.655273,0
2.33662,70,0.656934,0
2.34609,62,0.658594,0
2.35557,77,0.660254,0
2.36504,92,0.661914,0
2.37451,85,0.663574,0
2.38398,119,0.665234,0
2.39346,102,0.666895,0
2.40293,115,0.668555,0
2.4124,172,0.670215,0
2.42187,161,0.671875,0
2.43135,165,0.673535,0
2.44082,197,0.675195,0
2.45029,189,0.676855,0
2.45977,206,0.678516,0
2.46924,232,0.680176,0
2.47871,217,0.681836,0
2.48818,271,0.683496,0
2.49766,241,0.685156,0
2.50713,237,0.686816,0
2.5166,250,0.688477,0
2.52607,240,0.690137,0
2.53555,247,0.691797,0
2.54502,241,0.693457,0
2.55449,221,0.695117,0
2.56396,202,0.696777,0
2.57344,197,0.698438,0
2.58291,181,0.700098,0
2.59238,147,0.701758,0
2.60186,134,0.703418,0
2.61133,88,0.705078,0
2.6208,107,0.706738,0
2.63027,101,0.708398,0
2.63975,86,0.710059,0
2.64922,57,0.711719,0
2.65869,47,0.713379,0
2.66816,48,0.715039,0
2.67764,41,0.716699,0
2.68711,44,0.718359,0
2.69658,25,0.72002,0
2.70605,39,0.72168,0
2.71553,25,0.72334,0
2.725,25,0.725,0
2.73447,22,0.72666,0
2.74395,21,0.72832,0
2.75342,19,0.72998,0
2.76289,22,0.731641,0
2.77236,27,0.733301,0
2.78184,15,0.734961,0
2.79131,25,0.736621,0
2.80078,31,0.738281,0
2.81025,20,0.739941,0
2.81973,19,0.741602,0
2.8292,20,0.743262,0
2.83867,24,0.744922,0
2.84814,21,0.746582,0
2.85762,21,0.748242,0
2.86709,12,0.749902,0
2.87656,36,0.751562,0
2.88604,26,0.753223,0
2.89551,17,0.754883,0
2.90498,19,0.756543,0
2.91445,22,0.758203,0
2.92393,14,0.759863,0
2.9334,25,0.761523,0
2.94287,17,0.763184,0
2.95234,16,0.764844,0
2.96182,16,0.766504,0
2.97129,16,0.768164,0
2.98076,25,0.769824,0
2.99023,19,0.771484,0
2.99971,23,0.773145,0
3.00918,21,0.774805,0
3.01865,15,0.776465,0
3.02812,22,0.778125,0
3.0376,19,0.779785,0
3.04707,24,0.781445,0
3.05654,21,0.783105,0
3.06602,15,0.784766,0
3.07549,16,0.786426,0
3.08496,22,0.788086,0
3.09443,15,0.789746,0
3.10391,17,0.791406,0
3.11338,19,0.793066,0
3.12285,21,0.794727,0
3.13232,16,0.796387,0
3.1418,11,0.798047,0
3.15127,13,0.799707,0
3.16074,22,0.801367,0
3.17021,24,0.803027,0
3.17969,19,0.804687,0
3.18916,15,0.806348,0
3.19863,23,0.808008,0
3.20811,21,0.809668,0
3.21758,17,0.811328,0
3.22705,15,0.812988,0
3.23652,24,0.814648,0
3.246,20,0.816309,0
3.25547,25,0.817969,0
3.26494,14,0.819629,0
3.27441,26,0.821289,0
3.28389,15,0.822949,0
3.29336,18,0.824609,0
3.30283,21,0.82627,0
3.3123,24,0.82793,0
3.32178,17,0.82959,0
3.33125,21,0.83125,0
3.34072,20,0.83291,0
3.3502,21,0.83457,0
3.35967,17,0.83623,0
3.36914,15,0.837891,0
3.37861,16,0.839551,0
3.38809,14,0.841211,0
3.39756,16,0.842871,0
3.40703,21,0.844531,0
3.4165,27,0.846191,0
3.42598,20,0.847852,0
3.43545,20,0.849512,0
3.44492,17,0.851172,0
3.45439,15,0.852832,0
3.46387,28,0.854492,0
3.47334,15,0.856152,0
3.48281,15,0.857812,0
3.49229,20,0.859473,0
3.50176,23,0.861133,0
3.51123,21,0.862793,0
3.5207,22,0.864453,0
3.53018,23,0.866113,0
3.53965,19,0.867773,0
3.54912,22,0.869434,0
3.55859,15,0.871094,0
3.56807,30,0.872754,0
3.57754,12,0.874414,0
3.58701,26,0.876074,0
3.59648,23,0.877734,0
3.60596,19,0.879395,0
3.61543,23,0.881055,0
3.6249,18,0.882715,0
3.63437,24,0.884375,0
3.64385,15,0.886035,0
3.65332,27,0.887695,0
3.66279,26,0.889355,0
3.67227,25,0.891016,0
3.68174,21,0.892676,0
3.69121,19,0.894336,0
3.70068,18,0.895996,0
3.71016,25,0.897656,0
3.71963,12,0.899316,0
3.7291,22,0.900977,0
3.73857,19,0.902637,0
3.74805,24,0.904297,0
3.75752,26,0.905957,0
3.76699,15,0.907617,0
3.77646,24,0.909277,0
3.78594,25,0.910937,0
3.79541,24,0.912598,0
3.80488,23,0.914258,0
3.81436,21,0.915918,0
3.82383,27,0.917578,0
3.8333,19,0.919238,0
3.84277,25,0.920898,0
3.85225,22,0.922559,0
3.86172,19,0.924219,0
3.87119,23,0.925879,0
3.88066,19,0.927539,0
3.89014,13,0.929199,0
3.89961,23,0.930859,0
3.90908,19,0.93252,0
3.91855,24,0.93418,0
3.92803,22,0.93584,0
3.9375,20,0.9375,0
3.94697,26,0.93916,0
3.95645,28,0.94082,0
3.96592,21,0.94248,0
3.97539,23,0.944141,0
3.98486,21,0.945801,0
3.99434,23,0.947461,0
4.00381,16,0.949121,0
4.01328,30,0.950781,0
4.02275,20,0.952441,0
4.03223,27,0.954102,0
4.0417,15,0.955762,0
4.05117,35,0.957422,0
4.06064,19,0.959082,0
4.07012,27,0.960742,0
4.07959,17,0.962402,0
4.08906,22,0.964063,0
4.09854,23,0.965723,0
4.10801,28,0.967383,0
4.11748,24,0.969043,0
4.12695,12,0.970703,0
4.13643,23,0.972363,0
4.1459,20,0.974023,0
4.15537,25,0.975684,0
4.16484,23,0.977344,0
4.17432,29,0.979004,0
4.18379,23,0.980664,0
4.19326,19,0.982324,0
4.20273,25,0.983984,0
4.21221,30,0.985645,0
4.22168,20,0.987305,0
4.23115,29,0.988965,0
4.24062,21,0.990625,0
4.2501,20,0.992285,0
4.25957,21,0.993945,0
4.26904,24,0.995605,0
4.27852,25,0.997266,0
4.28799,25,0.998926,0
4.29746,19,1.00059,0
4.30693,23,1.00225,0
4.31641,22,1.00391,0
4.32588,29,1.00557,0
4.33535,23,1.00723,0
4.34482,19,1.00889,0
4.3543,25,1.01055,0
