Voltage - Ch0, - Ch0,Voltage - Ch1, - Ch1
3.20811,2990,0.809668,0
3.21758,3309,0.811328,0
3.22705,3583,0.812988,0
3.23652,3757,0.814648,0
3.246,3963,0.816309,0
3.25547,4338,0.817969,1
3.26494,4497,0.819629,0
3.27441,4827,0.821289,0
3.28389,5009,0.822949,0
3.29336,5067,0.824609,0
3.30283,5028,0.82627,0
3.3123,5134,0.82793,0
3.32178,5102,0.82959,0
3.33125,4919,0.83125,0
3.34072,4764,0.83291,0
3.3502,4628,0.83457,0
3.35967,4480,0.83623,1
3.36914,4202,0.837891,0
3.37861,3828,0.839551,0
3.38809,3537,0.841211,0
3.39756,3170,0.842871,0
3.40703,2877,0.844531,0
3.4165,2624,0.846191,0
3.42598,2251,0.847852,0
3.43545,1985,0.849512,0
3.44492,1658,0.851172,0
3.45439,1445,0.852832,0
3.46387,1203,0.854492,0
3.47334,1010,0.856152,0
3.48281,839,0.857812,0
3.49229,682,0.859473,0
3.50176,595,0.861133,0
3.51123,427,0.862793,0
3.5207,327,0.864453,1
3.53018,250,0.866113,0
3.53965,197,0.867773,0
3.54912,148,0.869434,0
3.55859,133,0.871094,0
3.56807,80,0.872754,0
3.57754,64,0.874414,0
3.58701,48,0.876074,0
3.59648,36,0.877734,0
3.60596,39,0.879395,0
3.61543,34,0.881055,0
3.6249,22,0.882715,0
3.63437,22,0.884375,0
3.64385,19,0.886035,0
3.65332,21,0.887695,0
3.66279,10,0.889355,0
3.67227,13,0.891016,0
3.68174,20,0.892676,0
3.69121,20,0.894336,0
3.70068,16,0.895996,0
3.71016,16,0.897656,0
3.71963,8,0.899316,0
3.7291,14,0.900977,1
3.73857,24,0.902637,0
3.74805,19,0.904297,0
3.75752,15,0.905957,0
3.76699,19,0.907617,0
3.77646,14,0.909277,0
3.78594,14,0.910937,0
3.79541,15,0.912598,0
3.80488,16,0.914258,0
3.81436,14,0.915918,0
3.82383,17,0.917578,0
3.8333,14,0.919238,0
3.84277,9,0.920898,0
3.85225,17,0.922559,0
3.86172,14,0.924219,0
3.87119,16,0.925879,0
3.88066,16,0.927539,0
3.89014,15,0.929199,0
3.89961,17,0.930859,0
3.90908,13,0.93252,0
3.91855,17,0.93418,0
3.92803,11,0.93584,0
3.9375,9,0.9375,0
3.94697,21,0.93916,0
3.95645,17,0.94082,0
3.96592,9,0.94248,0
3.97539,14,0.944141,0
3.98486,14,0.945801,0
3.99434,12,0.947461,0
4.00381,14,0.949121,0
4.01328,15,0.950781,0
4.02275,11,0.952441,0
4.03223,7,0.954102,0
4.0417,16,0.955762,0
4.05117,10,0.957422,0
4.06064,12,0.959082,0
4.07012,12,0.960742,1
4.07959,12,0.962402,0
4.08906,10,0.964063,0
4.09854,7,0.965723,0
4.10801,11,0.967383,0
4.11748,14,0.969043,0
4.12695,12,0.970703,0
4.13643,8,0.972363,0
4.1459,11,0.974023,0
4.15537,9,0.975684,0
4.16484,9,0.977344,1
4.17432,7,0.979004,0
4.18379,18,0.980664,0
4.19326,8,0.982324,0
4.20273,13,0.983984,0
4.21221,12,0.985645,0
4.22168,11,0.987305,0
4.23115,12,0.988965,0
4.24062,13,0.990625,0
4.2501,8,0.992285,0
4.25957,14,0.993945,0
4.26904,8,0.995605,0
4.27852,13,0.997266,0
4.28799,19,0.998926,0
4.29746,8,1.00059,0
4.30693,11,1.00225,0
4.31641,10,1.00391,0
4.32588,11,1.00557,0
4.33535,9,1.00723,0
4.34482,8,1.00889,0
4.3543,10,1.01055,0
4.36377,10,1.01221,0
4.37324,12,1.01387,0
4.38271,8,1.01553,0
4.39219,11,1.01719,0
4.40166,10,1.01885,0
4.41113,11,1.02051,1
4.42061,14,1.02217,0
4.43008,8,1.02383,0
4.43955,6,1.02549,0
4.44902,6,1.02715,1
4.4585,11,1.02881,0
4.46797,7,1.03047,0
4.47744,6,1.03213,0
4.48691,13,1.03379,0
4.49639,8,1.03545,0
4.50586,6,1.03711,0
4.51533,7,1.03877,0
4.5248,11,1.04043,0
4.53428,8,1.04209,0
4.54375,12,1.04375,0
4.55322,16,1.04541,0
4.5627,8,1.04707,0
4.57217,5,1.04873,0
4.58164,6,1.05039,0
4.59111,16,1.05205,0
4.60059,10,1.05371,0
4.61006,9,1.05537,0
4.61953,8,1.05703,0
4.629,7,1.05869,0
4.63848,10,1.06035,0
4.64795,11,1.06201,0
4.65742,9,1.06367,0
4.66689,3,1.06533,0
4.67637,8,1.06699,0
4.68584,11,1.06865,0
4.69531,8,1.07031,0
4.70479,7,1.07197,0
4.71426,6,1.07363,0
4.72373,11,1.07529,0
4.7332,6,1.07695,0
4.74268,3,1.07861,0
4.75215,2,1.08027,0
4.76162,9,1.08193,0
4.77109,12,1.08359,0
4.78057,11,1.08525,0
4.79004,7,1.08691,0
4.79951,6,1.08857,0
4.80898,7,1.09023,0
4.81846,3,1.09189,1
4.82793,7,1.09355,0
4.8374,6,1.09521,0
4.84687,9,1.09688,0
4.85635,5,1.09854,0
4.86582,6,1.1002,0
4.87529,13,1.10186,0
4.88477,6,1.10352,0
4.89424,8,1.10518,0
4.90371,6,1.10684,0
4.91318,8,1.1085,0
4.92266,6,1.11016,0
4.93213,5,1.11182,0
4.9416,3,1.11348,0
4.95107,7,1.11514,0
4.96055,5,1.1168,0
4.97002,9,1.11846,0
4.97949,15,1.12012,0
4.98896,6,1.12178,0
4.99844,8,1.12344,0
5.00791,6,1.1251,1
5.01738,9,1.12676,0
5.02686,8,1.12842,1
5.03633,7,1.13008,0
5.0458,6,1.13174,0
5.05527,6,1.1334,1
5.06475,8,1.13506,0
5.07422,7,1.13672,0
5.08369,10,1.13838,0
5.09316,2,1.14004,0
5.10264,5,1.1417,0
5.11211,6,1.14336,0
5.12158,8,1.14502,0
5.13105,9,1.14668,0
5.14053,7,1.14834,0
5.15,12,1.15,0
5.15947,3,1.15166,1
5.16895,3,1.15332,0
5.17842,10,1.15498,0
5.18789,5,1.15664,0
5.19736,7,1.1583,0
5.20684,8,1.15996,0
5.21631,1,1.16162,0
5.22578,8,1.16328,0
5.23525,9,1.16494,0
5.24473,6,1.1666,0
5.2542,5,1.16826,0
5.26367,2,1.16992,0
5.27314,4,1.17158,0
5.28262,7,1.17324,0
5.29209,4,1.1749,0
5.30156,7,1.17656,1
5.31104,5,1.17822,0
5.32051,5,1.17988,0
5.32998,8,1.18154,0
5.33945,8,1.1832,0
5.34893,6,1.18486,0
5.3584,5,1.18652,0
5.36787,8,1.18818,0
5.37734,8,1.18984,0
5.38682,1,1.1915,0
5.39629,8,1.19316,0
5.40576,10,1.19482,0
5.41523,10,1.19648,0
5.42471,8,1.19814,0
5.43418,8,1.1998,0
5.44365,3,1.20146,0
5.45312,7,1.20313,0
5.4626,3,1.20479,0
5.47207,8,1.20645,0
5.48154,5,1.20811,0
5.49102,6,1.20977,0
5.50049,8,1.21143,0
5.50996,5,1.21309,0
5.51943,9,1.21475,0
5.52891,3,1.21641,0
5.53838,9,1.21807,0
5.54785,9,1.21973,0
5.55732,7,1.22139,0
5.5668,13,1.22305,0
5.57627,12,1.22471,0
5.58574,12,1.22637,0
5.59521,11,1.22803,0
5.60469,10,1.22969,0
5.61416,8,1.23135,0
5.62363,16,1.23301,0
5.63311,9,1.23467,0
5.64258,11,1.23633,0
5.65205,15,1.23799,0
5.66152,23,1.23965,0
5.671,9,1.24131,0
5.68047,14,1.24297,0
5.68994,24,1.24463,0
5.69941,15,1.24629,0
5.70889,15,1.24795,0
5.71836,25,1.24961,0
5.72783,20,1.25127,0
5.7373,37,1.25293,0
5.74678,21,1.25459,0
5.75625,39,1.25625,0
5.76572,32,1.25791,0
5.7752,27,1.25957,0
5.78467,40,1.26123,0
5.79414,35,1.26289,0
5.80361,30,1.26455,0
5.81309,19,1.26621,1
5.82256,16,1.26787,0
5.83203,13,1.26953,0
5.8415,10,1.27119,0
5.85098,8,1.27285,0
5.86045,8,1.27451,0
5.86992,5,1.27617,0
5.87939,5,1.27783,0
5.88887,7,1.27949,0
5.89834,9,1.28115,0
5.90781,10,1.28281,1
5.91729,6,1.28447,0
5.92676,10,1.28613,0
5.93623,9,1.28779,0
5.9457,14,1.28945,0
5.95518,15,1.29111,0
5.96465,8,1.29277,0
5.97412,14,1.29443,0
5.98359,7,1.29609,0
5.99307,8,1.29775,0
6.00254,6,1.29941,0
6.01201,2,1.30107,0
6.02148,6,1.30273,1
6.03096,4,1.30439,0
6.04043,0,1.30605,0
6.0499,4,1.30771,0
6.05937,2,1.30937,0
6.06885,1,1.31104,0
6.07832,2,1.3127,1
6.08779,2,1.31436,0
6.09727,1,1.31602,0
6.10674,1,1.31768,0
6.11621,0,1.31934,0
6.12568,1,1.321,0
6.13516,0,1.32266,0
6.14463,0,1.32432,0
6.1541,2,1.32598,0
6.16357,0,1.32764,0
6.17305,0,1.3293,0
6.18252,0,1.33096,0
6.19199,0,1.33262,0
6.20146,0,1.33428,0
6.21094,0,1.33594,0
6.22041,0,1.3376,0
6.22988,0,1.33926,0
6.23936,2,1.34092,1
6.24883,0,1.34258,0
6.2583,0,1.34424,0
6.26777,0,1.3459,0
6.27725,0,1.34756,0
6.28672,0,1.34922,0
6.29619,0,1.35088,0
6.30566,0,1.35254,0
6.31514,0,1.3542,0
6.32461,0,1.35586,0
6.33408,0,1.35752,0
6.34355,0,1.35918,1
6.35303,0,1.36084,0
6.3625,0,1.3625,0
6.37197,0,1.36416,0
6.38145,0,1.36582,0
6.39092,0,1.36748,0
6.40039,0,1.36914,0
6.40986,0,1.3708,1
6.41934,0,1.37246,0
6.42881,0,1.37412,0
6.43828,0,1.37578,0
6.44775,0,1.37744,0
6.45723,0,1.3791,1
6.4667,0,1.38076,0
6.47617,0,1.38242,0
6.48564,0,1.38408,0
6.49512,0,1.38574,0
6.50459,0,1.3874,0
6.51406,0,1.38906,0
6.52354,0,1.39072,0
6.53301,0,1.39238,0
6.54248,0,1.39404,0
6.55195,0,1.3957,0
6.56143,0,1.39736,0
6.5709,0,1.39902,0
6.58037,0,1.40068,0
6.58984,0,1.40234,0
6.59932,0,1.404,0
6.60879,0,1.40566,0
6.61826,0,1.40732,0
6.62773,0,1.40898,0
6.63721,0,1.41064,0
6.64668,0,1.4123,0
6.65615,0,1.41396,0
6.66562,0,1.41562,1
6.6751,0,1.41729,0
6.68457,0,1.41895,0
6.69404,0,1.42061,0
6.70352,0,1.42227,0
6.71299,0,1.42393,0
6.72246,0,1.42559,0
6.73193,0,1.42725,0
6.74141,0,1.42891,0
6.75088,0,1.43057,0
6.76035,0,1.43223,0
6.76982,0,1.43389,0
6.7793,0,1.43555,0
6.78877,0,1.43721,0
6.79824,0,1.43887,0
6.80771,0,1.44053,0
6.81719,0,1.44219,0
6.82666,0,1.44385,0
6.83613,0,1.44551,1
6.84561,0,1.44717,0
6.85508,0,1.44883,0
6.86455,0,1.45049,0
6.87402,0,1.45215,0
6.8835,0,1.45381,0
6.89297,0,1.45547,0
6.90244,0,1.45713,0
6.91191,0,1.45879,0
6.92139,0,1.46045,0
6.93086,0,1.46211,0
6.94033,0,1.46377,0
6.9498,0,1.46543,1
6.95928,0,1.46709,0
6.96875,0,1.46875,0
6.97822,0,1.47041,0
6.9877,0,1.47207,0
6.99717,0,1.47373,0
7.00664,0,1.47539,0
7.01611,0,1.47705,0
7.02559,0,1.47871,0
7.03506,0,1.48037,0
7.04453,0,1.48203,0
7.054,0,1.48369,0
7.06348,0,1.48535,0
7.07295,0,1.48701,0
7.08242,0,1.48867,0
7.09189,0,1.49033,0
7.10137,0,1.49199,0
7.11084,0,1.49365,0
7.12031,0,1.49531,0
7.12979,0,1.49697,0
7.13926,0,1.49863,1
7.14873,0,1.50029,0
7.1582,0,1.50195,0
7.16768,0,1.50361,0
7.17715,0,1.50527,0
7.18662,0,1.50693,0
7.19609,0,1.50859,0
7.20557,0,1.51025,0
7.21504,0,1.51191,0
