Time (s),Fᵧ (N),rᵧ (m)
0.009999999776482582,-1.1128275394439697,0
0.019999999552965164,-1.1128275394439697,0
0.029999999329447746,-1.1060597896575928,0
0.03999999910593033,-1.1128275394439697,0
0.05000000074505806,-1.1128275394439697,0
0.05999999865889549,-1.1128275394439697,0
0.07000000029802322,-1.1060599088668823,0
0.07999999821186066,-1.1060599088668823,0
0.09000000357627869,-1.1128275394439697,0
0.10000000149011612,-1.1128275394439697,0
0.10999999940395355,-1.1128275394439697,0
0.11999999731779099,-1.1060597896575928,0
0.12999999523162842,-1.1128275394439697,0
0.14000000059604645,-1.1128275394439697,0
0.15000000596046448,-1.1060599088668823,0
0.1599999964237213,-1.1128275394439697,0
0.17000000178813934,-1.1060599088668823,0
0.18000000715255737,-1.1060599088668823,0
0.1899999976158142,-1.1060599088668823,0
0.20000000298023224,-1.1060599088668823,0
0.20999999344348907,-1.1128275394439697,0
0.2199999988079071,-1.1060599088668823,0
0.23000000417232513,-1.1128275394439697,0
0.23999999463558197,-1.1128275394439697,0
0.25,-1.1128275394439697,0
0.25999999046325684,-1.1128275394439697,0
0.27000001072883606,-1.1128275394439697,0
0.2800000011920929,-1.1128275394439697,0
0.28999999165534973,-1.1128275394439697,0
0.30000001192092896,-1.1195952892303467,0
0.3100000023841858,-1.1128275394439697,0
0.3199999928474426,-1.1128275394439697,0
0.33000001311302185,-1.1128275394439697,0
0.3400000035762787,-1.1128275394439697,0
0.3499999940395355,-1.1128275394439697,0
0.36000001430511475,-1.1263630390167236,0
0.3700000047683716,-1.1263630390167236,0
0.3799999952316284,-1.1331307888031006,0
0.38999998569488525,-1.1331307888031006,0
0.4000000059604645,-1.1398985385894775,0
0.4099999964237213,-1.1398985385894775,0
0.41999998688697815,-1.1331307888031006,0
0.4300000071525574,-1.1398985385894775,0
0.4399999976158142,-1.1398985385894775,4.440892412829259e-18
0.44999998807907104,-1.1398985385894775,0.00020000000949949026
0.46000000834465027,-1.153433918952942,0.0004000000189989805
0.4699999988079071,-1.146666169166565,0.0006000000284984708
0.47999998927116394,-1.153433918952942,0.000800000037997961
0.49000000953674316,-1.153433918952942,0.0010000000474974513
0.5,-1.153433918952942,0.0012000000569969416
0.5099999904632568,-1.1602016687393188,0.0014000000664964318
0.5199999809265137,-1.1669694185256958,0.001600000075995922
0.5299999713897705,-1.1602016687393188,0.0018000000854954123
0.5400000214576721,-1.1737371683120728,0.002199999988079071
0.550000011920929,-1.1737371683120728,0.002400000113993883
0.5600000023841858,-1.1805049180984497,0.0026000000070780516
0.5699999928474426,-1.1805049180984497,0.0028000001329928637
0.5799999833106995,-1.1805049180984497,0.003000000026077032
0.5899999737739563,-1.1805049180984497,0.003200000151991844
0.6000000238418579,-1.1805049180984497,0.003599999938160181
0.6100000143051147,-1.194040298461914,0.003999999724328518
0.6200000047683716,-1.194040298461914,0.004399999976158142
0.6299999952316284,-1.194040298461914,0.004800000227987766
0.6399999856948853,-1.194040298461914,0.004999999888241291
0.6499999761581421,-1.194040298461914,0.005200000014156103
0.6600000262260437,-1.200808048248291,0.005399999674409628
0.6700000166893005,-1.207575798034668,0.005600000265985727
0.6800000071525574,-1.207575798034668,0.005800000391900539
0.6899999976158142,-1.207575798034668,0.006000000052154064
0.699999988079071,-1.214343547821045,0.006199999712407589
0.7099999785423279,-1.2211112976074219,0.006399999372661114
0.7200000286102295,-1.2211112976074219,0.006599999964237213
0.7300000190734863,-1.214343547821045,0.006799999624490738
0.7400000095367432,-1.2211112976074219,0.007200000341981649
0.75,-1.2211112976074219,0.007400000933557749
0.7599999904632568,-1.2278790473937988,0.007600000593811274
0.7699999809265137,-1.2278790473937988,0.007800000719726086
0.7799999713897705,-1.2346467971801758,0.00800000037997961
0.7900000214576721,-1.2346467971801758,0.00800000037997961
0.800000011920929,-1.2346467971801758,0.008200000040233135
0.8100000023841858,-1.2481821775436401,0.00839999970048666
0.8199999928474426,-1.2414145469665527,0.00860000029206276
0.8299999833106995,-1.2414145469665527,0.008799999952316284
0.8399999737739563,-1.2481821775436401,0.009199999272823334
0.8500000238418579,-1.2481821775436401,0.009399999864399433
0.8600000143051147,-1.261717677116394,0.009600000455975533
0.8700000047683716,-1.261717677116394,0.009999999776482582
0.8799999952316284,-1.261717677116394,0.010400000028312206
0.8899999856948853,-1.261717677116394,0.010799999348819256
0.8999999761581421,-1.275253176689148,0.011200000531971455
0.9100000262260437,-1.275253176689148,0.011600000783801079
0.9200000166893005,-1.275253176689148,0.011800000444054604
0.9300000071525574,-1.282020926475525,0.012199999764561653
0.9399999976158142,-1.2887885570526123,0.012399999424815178
0.949999988079071,-1.2887885570526123,0.012800000607967377
0.9599999785423279,-1.2955563068389893,0.013199999928474426
0.9700000286102295,-1.3023240566253662,0.013599999248981476
0.9800000190734863,-1.3023240566253662,0.014000000432133675
0.9900000095367432,-1.3090918064117432,0.014400000683963299
1,-1.3090918064117432,0.014800000004470348
1.0099999904632568,-1.3158595561981201,0.015200001187622547
1.0199999809265137,-1.3293949365615845,0.015600000508129597
1.0299999713897705,-1.3361626863479614,0.01599999889731407
1.0399999618530273,-1.3429304361343384,0.01640000008046627
1.0499999523162842,-1.3429304361343384,0.01679999940097332
1.059999942779541,-1.3496981859207153,0.01720000058412552
1.0700000524520874,-1.3496981859207153,0.01759999990463257
1.0800000429153442,-1.3564659357070923,0.017999999225139618
1.090000033378601,-1.3632336854934692,0.018400000408291817
1.100000023841858,-1.3632336854934692,0.018799999728798866
1.1100000143051147,-1.3700014352798462,0.019200000911951065
