"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
1,76.5219041218972,75.5270455483056
1.45,52.7320506325516,52.1107401717582
1.9,47.7801600239682,47.5133903638988
2.35,44.3554382132027,44.3018208498632
2.8,42.5573598067156,41.1514871855623
3.25,35.4026309297032,35.2903734324756
3.7,32.8738608855143,32.5911250741903
4.15,34.4512250799173,34.1355029472768
4.6,5.67607578314619,5.61633209295986
5.05,27.8932715771591,28.0331155846609
5.5,26.1561115214878,25.6157179294565
5.95,27.2026615182665,27.3621724907597
6.4,22.1399009885493,21.9394223544725
6.85,17.2348423971101,18.2616231205547
7.3,21.7392214929908,21.2989982742421
7.75,22.7533881200045,22.5905569233829
8.2,22.7636032970576,23.0771350517237
8.65,8.88875116352254,9.03957922681717
9.1,17.6974672143048,17.3284815443849
9.55,18.6096432289969,18.4256637221701
10,21.0682495329809,21.2862772581727
