"Freq [GHz]","VSWRt(1) []","VSWRt(2) []"
5,1.05500973801887,1.05300178400578
5.06666666666667,1.16612091929232,1.16596849109392
5.13333333333333,1.14404710823251,1.14490737659338
5.2,1.01144309639479,1.02148779976125
5.26666666666667,1.1304266816277,1.13122755003328
5.33333333333333,1.16874753287422,1.16814694509537
5.4,1.06879109071046,1.0653879144302
5.46666666666667,1.08689706470957,1.08444182444804
5.53333333333333,1.17687457408486,1.17689092280106
5.6,1.12518195170553,1.12701710102287
5.66666666666667,1.01687918543902,1.02764608584943
5.73333333333333,1.1402926358858,1.14048733959527
5.8,1.14495883040995,1.14268854016816
5.86666666666667,1.03589403082579,1.02222816503148
5.93333333333333,1.12237263914278,1.11978883247841
6,1.17562211914228,1.17501844308302
6.06666666666667,1.08408415551135,1.08458532461777
6.13333333333333,1.07467923264027,1.07517248078141
6.2,1.1895768217164,1.1891953391058
6.26666666666667,1.15989917173923,1.15880805294942
6.33333333333333,1.02493898998738,1.01588887034591
6.4,1.13511453215774,1.13392794680222
6.46666666666667,1.17463125171806,1.17419208612788
6.53333333333333,1.07143876091092,1.07061950945067
6.6,1.08301097396109,1.08253079306469
6.66666666666667,1.17228940502904,1.17186575826337
6.73333333333333,1.11703600271431,1.11630659518538
6.8,1.03421738978242,1.03288618008984
6.86666666666667,1.15917249652155,1.15903739068168
6.93333333333333,1.16185566747729,1.16159577402925
7,1.03820372940771,1.03737434909314
