#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384AEE647
#Date Time: 2024-02-14 16:56:31.928
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: RampUp
#Frequency: 9.8 Hz
#Period: 102.040816 ms
#Amplitude: 1.75 V
#Offset: 1.25 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0002000000000000057,1.841086504763896,1.052459350761733
-0.0001875000000000002,1.841421446969511,1.052459350761733
-0.0001750000000000015,1.842426273586353,1.052459350761733
-0.0001625000000000029,1.842761215791967,1.052459350761733
-0.0001500000000000043,1.843096157997581,1.052459350761733
-0.0001375000000000057,1.843431100203195,1.052459350761733
-0.0001250000000000001,1.843431100203195,1.052116704113622
-0.0001125000000000015,1.843766042408809,1.052459350761733
-0.0001000000000000029,1.843431100203195,1.052801997409844
-8.750000000000424e-05,1.844435926820037,1.052459350761733
-7.500000000000562e-05,1.844435926820037,1.052459350761733
-6.250000000000006e-05,1.845105811231266,1.052459350761733
-5.000000000000143e-05,1.84544075343688,1.052459350761733
-3.750000000000281e-05,1.846110637848108,1.052459350761733
-2.500000000000419e-05,1.846445580053722,1.052459350761733
-1.250000000000556e-05,0.4189218997262769,-0.1173363058887484
0,-0.004445048169989703,-0.5017858450691346
1.249999999999862e-05,-0.00310527934753377,-0.5007579051248024
2.499999999999725e-05,-0.002100452730691363,-0.5004152584766915
3.749999999999587e-05,-0.001430568319463092,-0.5000726118285806
4.999999999999449e-05,-0.001430568319463092,-0.4997299651804698
6.250000000000006e-05,-0.001430568319463092,-0.4990446718842479
7.499999999999868e-05,-0.001430568319463092,-0.4987020252361372
8.74999999999973e-05,-0.001095626113848957,-0.4983593785880264
9.999999999999593e-05,-0.001430568319463092,-0.4976740852918046
0.0001124999999999945,-0.001095626113848957,-0.4976740852918046
0.0001250000000000001,-0.00143056831946294,-0.4973314386436938
0.0001374999999999987,-0.001095626113848957,-0.4973314386436938
0.0001499999999999974,-0.001095626113848957,-0.4966461453474721
0.000162499999999996,-0.001095626113848957,-0.4959608520512503
0.0001749999999999946,-0.001430568319463092,-0.4956182054031395
0.0001875000000000002,-0.001095626113848957,-0.4945902654588069
0.0001999999999999988,-0.001095626113848957,-0.4945902654588069
0.0002124999999999974,-0.001430568319463092,-0.4945902654588069
0.000224999999999996,-0.001095626113848957,-0.4949329121069178
0.0002374999999999947,-0.001095626113848957,-0.494247618810696
0.0002499999999999933,-0.001095626113848957,-0.4939049721625853
0.0002624999999999988,-0.001095626113848957,-0.4925343855701417
0.0002749999999999975,-0.001095626113848957,-0.4932196788663635
0.0002874999999999961,-0.001430568319463092,-0.49184909227392
0.0002999999999999947,-0.001095626113848957,-0.49184909227392
0.0003124999999999933,-0.001095626113848957,-0.4911637989776986
0.0003249999999999989,-0.001095626113848957,-0.4897932123852549
0.0003374999999999975,-0.001430568319463092,-0.4897932123852549
0.0003499999999999961,-0.001430568319463092,-0.489450565737144
0.0003624999999999948,-0.001095626113848957,-0.4891079190890331
0.0003749999999999934,-0.001095626113848957,-0.4887652724409224
0.000387499999999999,-0.001095626113848957,-0.4877373324965897
0.0003999999999999976,-0.001095626113848957,-0.4873946858484788
0.0004124999999999962,-0.001095626113848957,-0.4867093925522571
0.0004249999999999948,-0.001095626113848957,-0.4863667459041462
0.0004374999999999934,-0.00143056831946294,-0.4867093925522569
0.000449999999999999,-0.001095626113848957,-0.4860240992560353
0.0004624999999999976,-0.001095626113848957,-0.4856814526079245
0.0004749999999999963,-0.001095626113848957,-0.4853388059598137
0.0004874999999999949,-0.001430568319463092,-0.4843108660154811
0.0004999999999999935,-0.001095626113849109,-0.4843108660154811
0.0005124999999999991,-0.001095626113848957,-0.4839682193673702
0.0005249999999999977,-0.001095626113848957,-0.4832829260711485
0.0005374999999999963,-0.001095626113848957,-0.4832829260711485
0.0005499999999999949,-0.001095626113848957,-0.481912339478705
0.0005624999999999936,-0.001095626113848957,-0.481912339478705
0.0005749999999999991,-0.001095626113848957,-0.4815696928305941
0.0005874999999999977,-0.001095626113848957,-0.4812270461824833
0.0005999999999999964,-0.001095626113848957,-0.4808843995343725
0.000612499999999995,-0.001095626113848957,-0.4801991062381507
0.0006249999999999936,-0.00143056831946294,-0.47985645959004
0.0006374999999999992,-0.001430568319463092,-0.479513812941929
0.0006499999999999978,-0.001095626113848957,-0.4791711662938181
0.0006624999999999964,-0.001095626113848957,-0.479513812941929
0.000674999999999995,-0.001430568319463092,-0.4791711662938181
0.0006874999999999937,-0.001095626113849109,-0.4788285196457074
0.0006999999999999992,-0.001095626113848957,-0.4778005797013747
0.0007124999999999979,-0.001430568319463092,-0.4774579330532638
0.0007249999999999965,-0.001095626113848957,-0.4771152864051529
0.0007374999999999951,-0.001095626113848957,-0.4771152864051529
0.0007499999999999937,-0.001095626113848957,-0.4760873464608208
0.0007624999999999993,-0.001430568319463092,-0.4760873464608203
0.0007749999999999979,-0.001430568319463092,-0.4750594065164878
0.0007874999999999965,-0.001430568319463092,-0.4750594065164878
0.0007999999999999952,-0.001095626113848957,-0.4733461732759335
0.0008124999999999938,-0.00143056831946294,-0.4736888199240442
0.0008249999999999993,-0.001095626113848957,-0.4726608799797117
