#Digilent WaveForms Oscilloscope Acquisition
#Device Name: DiscoveryStudio
#Serial Number: SN:210384AEE647
#Date Time: 2024-02-14 15:22:26.796
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 200 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: RampUp
#Frequency: 9.8 Hz
#Period: 102.040816 ms
#Amplitude: 1.75 V
#Offset: 1.25 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0002000000000000057,2.225935099014538,0.6495068925833597
-0.0001875000000000002,2.226270041220153,0.649164245935249
-0.0001750000000000015,2.22693992563138,0.6495068925833597
-0.0001625000000000029,2.227609810042609,0.6491642459352489
-0.0001500000000000043,2.227274867836994,0.6491642459352489
-0.0001375000000000057,2.227609810042609,0.6495068925833597
-0.0001250000000000001,2.228279694453837,0.6495068925833597
-0.0001125000000000015,2.227944752248223,0.6495068925833597
-0.0001000000000000029,2.227944752248223,0.6498495392314706
-8.750000000000424e-05,2.229284521070679,0.6491642459352489
-7.500000000000562e-05,2.229619463276293,0.6498495392314706
-6.250000000000006e-05,2.229954405481907,0.649164245935249
-5.000000000000143e-05,2.229954405481907,0.6495068925833597
-3.750000000000281e-05,2.230624289893136,0.6491642459352489
-2.500000000000419e-05,2.231629116509978,0.6495068925833597
-1.250000000000556e-05,0.2611641208820191,-0.348280146715469
0,-0.003440221553147296,-0.5011005517729133
1.249999999999862e-05,-0.002100452730691363,-0.5014431984210241
2.499999999999725e-05,-0.001430568319463092,-0.5007579051248024
3.749999999999587e-05,-0.0007606839082348214,-0.5007579051248024
4.999999999999449e-05,-0.001095626113848957,-0.5004152584766915
6.250000000000006e-05,-0.001095626113848805,-0.5000726118285805
7.499999999999868e-05,-0.0007606839082348214,-0.4997299651804698
8.74999999999973e-05,-0.0007606839082348214,-0.4997299651804698
9.999999999999593e-05,-0.001095626113848957,-0.4983593785880264
0.0001124999999999945,-0.0007606839082348214,-0.4987020252361372
0.0001250000000000001,-0.0007606839082348214,-0.4976740852918046
0.0001374999999999987,-0.0007606839082348214,-0.4976740852918046
0.0001499999999999974,-0.0007606839082348214,-0.4976740852918046
0.000162499999999996,-0.001095626113848957,-0.4966461453474721
0.0001749999999999946,-0.0007606839082348214,-0.4963034986993612
0.0001875000000000002,-0.0007606839082348214,-0.4959608520512502
0.0001999999999999988,-0.0007606839082348214,-0.4956182054031395
0.0002124999999999974,-0.001095626113848957,-0.4959608520512503
0.000224999999999996,-0.001095626113848957,-0.4959608520512503
0.0002374999999999947,-0.0007606839082348214,-0.4952755587550286
0.0002499999999999933,-0.001095626113848805,-0.4942476188106965
0.0002624999999999988,-0.001095626113848957,-0.4935623255144743
0.0002749999999999975,-0.001095626113848957,-0.4932196788663635
0.0002874999999999961,-0.0007606839082348214,-0.4928770322182526
0.0002999999999999947,-0.001095626113848957,-0.4921917389220309
0.0003124999999999933,-0.001095626113848957,-0.4918490922739202
0.0003249999999999989,-0.001095626113848957,-0.4908211523295874
0.0003374999999999975,-0.001095626113848957,-0.4904785056814766
0.0003499999999999961,-0.001095626113848957,-0.4901358590333657
0.0003624999999999948,-0.001095626113848957,-0.4897932123852549
0.0003749999999999934,-0.001095626113848957,-0.4891079190890334
0.000387499999999999,-0.001095626113848957,-0.4884226257928114
0.0003999999999999976,-0.001095626113848957,-0.4880799791447005
0.0004124999999999962,-0.001095626113848957,-0.4873946858484788
0.0004249999999999948,-0.001095626113848957,-0.4873946858484788
0.0004374999999999934,-0.001095626113848957,-0.4877373324965895
0.000449999999999999,-0.001095626113848957,-0.4873946858484788
0.0004624999999999976,-0.001095626113848957,-0.4870520392003679
0.0004749999999999963,-0.001095626113848957,-0.4863667459041462
0.0004874999999999949,-0.001095626113848957,-0.4856814526079245
0.0004999999999999935,-0.001095626113848957,-0.4853388059598138
0.0005124999999999991,-0.001095626113848957,-0.4846535126635919
0.0005249999999999977,-0.001095626113848957,-0.4843108660154811
0.0005374999999999963,-0.001095626113848957,-0.4839682193673702
0.0005499999999999949,-0.001095626113848957,-0.4829402794230376
0.0005624999999999936,-0.001095626113848957,-0.4829402794230376
0.0005749999999999991,-0.001095626113848957,-0.4825976327749267
0.0005874999999999977,-0.001095626113848957,-0.4822549861268159
0.0005999999999999964,-0.001095626113848957,-0.4825976327749267
0.000612499999999995,-0.001095626113848957,-0.4812270461824833
0.0006249999999999936,-0.001095626113848957,-0.4808843995343726
0.0006374999999999992,-0.001095626113848957,-0.4798564595900399
0.0006499999999999978,-0.001095626113848957,-0.4798564595900399
0.0006624999999999964,-0.001430568319463092,-0.4801991062381507
0.000674999999999995,-0.001095626113848957,-0.4798564595900399
0.0006874999999999937,-0.001095626113848957,-0.4791711662938185
0.0006999999999999992,-0.001430568319463092,-0.4784858729975964
0.0007124999999999979,-0.001095626113848957,-0.4781432263494855
0.0007249999999999965,-0.001095626113848957,-0.4771152864051529
0.0007374999999999951,-0.001095626113848957,-0.4771152864051529
0.0007499999999999937,-0.00143056831946294,-0.4767726397570423
0.0007624999999999993,-0.001095626113848957,-0.4760873464608203
0.0007749999999999979,-0.001430568319463092,-0.4757446998127095
0.0007874999999999965,-0.001430568319463092,-0.4754020531645987
0.0007999999999999952,-0.001095626113848957,-0.4747167598683769
0.0008124999999999938,-0.001095626113848957,-0.4743741132202662
