,mass A,,,,,,,,,,,,,,,,,,,,,,,,,
t,x,y,r,θr,vx,vy,v,θv,ax,ay,a,θa,θ,ω,α,step,frame,px,py,p,θp,pixelx,pixely,L,K,
0.334,-5.951E-2,-0.316,0.321,-100.7,1.322E-2,-7.882E-3,1.539E-2,-30.80,-2.521E-2,0.103,0.106,103.8,-100.7,2.576,-7.778,20,256,1.322E-2,-7.882E-3,1.539E-2,-30.80,443.3,1.390E3,8.062E-3,1.185E-4
0.350,-5.919E-2,-0.316,0.321,-100.6,8.322E-3,2.632E-3,8.728E-3,17.55,-0.131,0.340,0.364,111.1,-100.6,1.372,-34.16,21,257,8.322E-3,2.632E-3,8.728E-3,17.55,444.1,1.391E3,8.401E-3,3.809E-5
0.367,-5.924E-2,-0.316,0.321,-100.6,3.939E-3,6.705E-3,7.777E-3,59.57,-5.799E-2,0.160,0.170,109.9,-100.6,0.470,-15.37,22,258,3.939E-3,6.705E-3,7.777E-3,59.57,444.0,1.390E3,8.606E-3,3.024E-5
0.384,-5.906E-2,-0.316,0.321,-100.6,9.895E-3,4.660E-3,1.094E-2,25.22,-0.109,0.444,0.457,103.8,-100.6,1.582,-33.68,23,259,9.895E-3,4.660E-3,1.094E-2,25.22,444.4,1.390E3,8.782E-3,5.981E-5
0.400,-5.891E-2,-0.316,0.321,-100.6,4.808E-4,2.127E-2,2.128E-2,88.71,-5.159E-4,0.209,0.209,90.14,-100.6,-0.615,-6.845,24,260,4.808E-4,2.127E-2,2.128E-2,88.71,444.7,1.390E3,8.985E-3,2.264E-4
0.417,-5.905E-2,-0.315,0.320,-100.6,5.459E-3,1.745E-2,1.828E-2,72.63,-0.264,-0.194,0.328,-143.7,-100.6,0.387,-40.07,25,261,5.459E-3,1.745E-2,1.828E-2,72.63,444.4,1.388E3,9.579E-3,1.672E-4
0.434,-5.872E-2,-0.315,0.320,-100.6,-3.172E-4,7.008E-3,7.015E-3,92.59,0.185,-0.541,0.572,-71.09,-100.6,-0.287,50.35,26,262,-3.172E-4,7.008E-3,7.015E-3,92.59,445.2,1.388E3,9.901E-3,2.461E-5
0.450,-5.906E-2,-0.315,0.320,-100.6,1.067E-3,5.052E-3,5.163E-3,78.07,0.100,7.721E-2,0.127,37.59,-100.6,2.207E-2,15.16,27,263,1.067E-3,5.052E-3,5.163E-3,78.07,444.4,1.388E3,1.030E-2,1.333E-5
0.467,-5.869E-2,-0.315,0.320,-100.6,1.310E-2,4.898E-3,1.398E-2,20.50,0.383,-0.129,0.404,-18.66,-100.6,2.143,71.58,28,264,1.310E-2,4.898E-3,1.398E-2,20.50,445.3,1.388E3,1.068E-2,9.779E-5
0.484,-5.862E-2,-0.315,0.320,-100.6,7.756E-3,5.567E-3,9.547E-3,35.67,-0.486,0.237,0.541,154.0,-100.6,1.183,-93.24,29,265,7.756E-3,5.567E-3,9.547E-3,35.67,445.4,1.387E3,1.091E-2,4.557E-5
0.500,-5.843E-2,-0.315,0.320,-100.5,7.324E-4,7.863E-3,7.897E-3,84.68,-0.217,0.304,0.374,125.5,-100.5,-0.129,-48.20,30,266,7.324E-4,7.863E-3,7.897E-3,84.68,445.9,1.387E3,1.111E-2,3.118E-5
