,mass A,,,,,,,,,,,,,,,,,,,,,,,,,
t,x,y,r,θr,vx,vy,v,θv,ax,ay,a,θa,θ,ω,α,step,frame,px,py,p,θp,pixelx,pixely,L,K,
0.150,-1.064E-2,-0.279,0.279,-92.18,,,,,,,,,-92.18,,,9,844,,,,,553.0,1.264E3,0.000,
0.167,-7.999E-3,-0.278,0.279,-91.65,0.158,3.733E-2,0.162,13.31,,,,,-91.65,32.19,,10,845,0.158,3.733E-2,0.162,13.31,559.0,1.262E3,2.750E-3,1.314E-2
0.183,-5.379E-3,-0.278,0.278,-91.11,0.147,2.935E-2,0.150,11.30,-0.128,-0.568,0.582,-102.7,-91.11,30.14,-16.63,11,846,0.147,2.935E-2,0.150,11.30,564.9,1.261E3,5.412E-3,1.122E-2
0.200,-3.103E-3,-0.278,0.278,-90.64,0.149,2.128E-2,0.150,8.135,0.164,-0.370,0.405,-66.02,-90.64,30.68,40.04,12,847,0.149,2.128E-2,0.150,8.135,570.0,1.260E3,7.744E-3,1.131E-2
0.217,-4.160E-4,-0.277,0.277,-90.09,0.158,1.401E-2,0.158,5.074,9.089E-3,-6.507E-2,6.570E-2,-82.05,-90.09,32.61,6.724,13,848,0.158,1.401E-2,0.158,5.074,576.1,1.260E3,1.044E-2,1.256E-2
0.233,2.159E-3,-0.277,0.277,-89.55,0.147,2.030E-2,0.149,7.838,-0.566,0.294,0.638,152.6,-89.55,30.54,-112.6,14,849,0.147,2.030E-2,0.149,7.838,581.9,1.259E3,1.303E-2,1.108E-2
0.250,4.500E-3,-0.277,0.277,-89.07,0.138,2.481E-2,0.140,10.21,-0.188,8.416E-2,0.206,155.9,-89.07,28.62,-34.64,15,850,0.138,2.481E-2,0.140,10.21,587.2,1.258E3,1.540E-2,9.806E-3
0.267,6.753E-3,-0.276,0.276,-88.60,0.141,2.279E-2,0.143,9.201,2.892E-2,-1.283E-2,3.164E-2,-23.93,-88.60,29.27,10.31,16,851,0.141,2.279E-2,0.143,9.201,592.2,1.257E3,1.770E-2,1.015E-2
0.284,9.189E-3,-0.276,0.276,-88.09,0.141,2.340E-2,0.143,9.394,-0.525,3.915E-2,0.527,175.7,-88.09,29.50,-104.8,17,852,0.141,2.340E-2,0.143,9.394,597.7,1.256E3,2.016E-2,1.027E-2
0.300,1.147E-2,-0.275,0.276,-87.62,0.123,2.528E-2,0.126,11.61,-0.821,6.391E-2,0.824,175.6,-87.62,25.75,-166.4,18,853,0.123,2.528E-2,0.126,11.61,602.9,1.255E3,2.247E-2,7.881E-3
0.317,1.329E-2,-0.275,0.275,-87.23,0.111,2.485E-2,0.113,12.66,-0.598,-0.541,0.806,-137.9,-87.23,23.24,-127.7,19,854,0.111,2.485E-2,0.113,12.66,607.0,1.254E3,2.434E-2,6.427E-3
0.334,1.515E-2,-0.275,0.275,-86.84,0.106,9.698E-3,0.107,5.217,-0.517,-0.753,0.913,-124.5,-86.84,22.18,-115.3,20,855,0.106,9.698E-3,0.107,5.217,611.2,1.254E3,2.625E-2,5.687E-3
