03/20/2024 16:29:27
LT: 60.00

1.9388	    31	0.5872	     0
1.9482	    29	0.5889	     0
1.9577	    42	0.5905	     0
1.9672	    26	0.5922	     0
1.9767	    33	0.5938	     0
1.9861	    27	0.5955	     0
1.9956	    37	0.5972	     0
2.0051	    18	0.5988	     0
2.0146	    27	0.6005	     0
2.0240	    20	0.6021	     0
2.0335	    27	0.6038	     0
2.0430	    31	0.6055	     0
2.0524	    19	0.6071	     0
2.0619	    26	0.6088	     0
2.0714	    20	0.6104	     0
2.0809	    27	0.6121	     0
2.0903	    22	0.6138	     0
2.0998	    31	0.6154	     0
2.1093	    16	0.6171	     0
2.1187	    22	0.6187	     0
2.1282	    17	0.6204	     0
2.1377	    22	0.6221	     0
2.1472	    16	0.6237	     0
2.1566	    24	0.6254	     0
2.1661	    25	0.6271	     0
2.1756	    21	0.6287	     0
2.1851	    26	0.6304	     0
2.1945	    22	0.6320	     0
2.2040	    27	0.6337	     0
2.2135	    22	0.6354	     0
2.2229	    19	0.6370	     0
2.2324	    22	0.6387	     0
2.2419	    27	0.6403	     0
2.2514	    13	0.6420	     0
2.2608	    25	0.6437	     0
2.2703	    22	0.6453	     0
2.2798	    10	0.6470	     0
2.2893	    19	0.6486	     0
2.2987	    17	0.6503	     0
2.3082	    16	0.6520	     0
2.3177	    32	0.6536	     0
2.3271	    21	0.6553	     0
2.3366	    13	0.6569	     0
2.3461	    28	0.6586	     0
2.3556	    16	0.6603	     0
2.3650	    14	0.6619	     0
2.3745	    13	0.6636	     0
2.3840	    12	0.6652	     0
2.3935	    22	0.6669	     0
2.4029	    17	0.6686	     0
2.4124	    19	0.6702	     0
2.4219	    10	0.6719	     0
2.4313	    13	0.6735	     0
2.4408	    12	0.6752	     0
2.4503	    13	0.6769	     0
2.4598	    18	0.6785	     0
2.4692	    13	0.6802	     0
2.4787	    15	0.6818	     0
2.4882	    11	0.6835	     0
2.4977	    17	0.6852	     0
2.5071	    13	0.6868	     0
2.5166	    18	0.6885	     0
2.5261	    14	0.6901	     0
2.5355	    11	0.6918	     0
2.5450	    18	0.6935	     0
2.5545	    11	0.6951	     0
2.5640	    16	0.6968	     0
2.5734	    12	0.6984	     0
2.5829	    12	0.7001	     0
2.5924	    13	0.7018	     0
2.6019	    14	0.7034	     0
2.6113	    10	0.7051	     0
2.6208	    15	0.7067	     0
2.6303	    15	0.7084	     0
2.6397	    13	0.7101	     0
2.6492	    18	0.7117	     0
2.6587	    13	0.7134	     0
2.6682	     9	0.7150	     0
2.6776	    19	0.7167	     1
2.6871	    11	0.7184	     0
2.6966	    13	0.7200	     0
2.7061	    20	0.7217	     1
2.7155	    13	0.7233	     0
2.7250	    15	0.7250	     0
2.7345	    10	0.7267	     0
2.7439	    11	0.7283	     0
2.7534	    16	0.7300	     0
2.7629	     8	0.7316	     0
2.7724	     7	0.7333	     0
2.7818	     8	0.7350	     0
2.7913	    16	0.7366	     0
2.8008	    22	0.7383	     0
2.8103	     8	0.7399	     0
2.8197	    11	0.7416	     0
2.8292	    15	0.7433	     0
2.8387	    12	0.7449	     0
2.8481	    14	0.7466	     0
2.8576	    10	0.7482	     0
2.8671	     6	0.7499	     0
2.8766	    16	0.7516	     0
2.8860	    23	0.7532	     0
2.8955	    11	0.7549	     0
2.9050	    17	0.7565	     0
2.9145	    17	0.7582	     0
2.9239	    15	0.7599	     0
2.9334	    27	0.7615	     0
2.9429	    14	0.7632	     0
2.9523	    25	0.7648	     0
2.9618	    18	0.7665	     0
2.9713	    24	0.7682	     0
2.9808	    29	0.7698	     0
2.9902	    31	0.7715	     0
2.9997	    27	0.7731	     0
3.0092	    36	0.7748	     0
3.0187	    38	0.7765	     0
3.0281	    40	0.7781	     0
3.0376	    34	0.7798	     0
3.0471	    37	0.7814	     0
3.0565	    56	0.7831	     0
3.0660	    62	0.7848	     0
3.0755	    70	0.7864	     0
3.0850	    72	0.7881	     0
3.0944	    78	0.7897	     0
3.1039	    75	0.7914	     0
3.1134	    85	0.7931	     0
3.1229	    99	0.7947	     0
3.1323	   111	0.7964	     0
3.1418	   106	0.7980	     0
3.1513	    99	0.7997	     0
3.1607	   101	0.8014	     0
3.1702	   108	0.8030	     0
3.1797	   113	0.8047	     0
3.1892	   100	0.8063	     0
3.1986	   114	0.8080	     0
3.2081	   103	0.8097	     0
3.2176	    99	0.8113	     0
3.2271	    89	0.8130	     0
3.2365	   107	0.8146	     0
3.2460	    78	0.8163	     0
3.2555	    77	0.8180	     0
