Fri, Oct 25, 2024
1:55:03 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
95.9900000	-4130.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0204552	0.0267941	0.0828553	0.0751919	-0.0220357	-0.0284075	-0.0834792	-0.0747230
97.2800000	-31.1100006	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0141702	0.0168093	0.0030187	-0.0017311	-0.0155923	-0.0182268	-0.0035635	0.0020650
98.5350000	4115.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0221016	0.0242353	-0.0747175	-0.0828931	-0.0236404	-0.0257600	0.0742128	0.0833938
100.1250000	-4129.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0220367	0.0288079	0.0836109	0.0751679	-0.0236058	-0.0303875	-0.0841930	-0.0747007
101.4000000	-30.8199997	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0154706	0.0183705	0.0032763	-0.0019841	-0.0168835	-0.0197778	-0.0038225	0.0023258
102.7000000	4113.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0238236	0.0262577	-0.0747116	-0.0835563	-0.0253480	-0.0277812	0.0741972	0.0840488
104.3300000	-4127.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0237665	0.0309268	0.0842990	0.0751386	-0.0253286	-0.0325057	-0.0848814	-0.0746861
105.6150000	-31.0599995	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0168757	0.0200365	0.0035534	-0.0022326	-0.0182869	-0.0214470	-0.0040939	0.0025759
106.8750000	4112.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0256253	0.0283705	-0.0746759	-0.0841905	-0.0271355	-0.0298843	0.0741699	0.0846797
108.5450000	-4125.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0256391	0.0331422	0.0849100	0.0750977	-0.0271779	-0.0347003	-0.0854877	-0.0746548
109.9450000	-30.9400005	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0184300	0.0218892	0.0038541	-0.0025271	-0.0198331	-0.0232904	-0.0043940	0.0028719
111.1850000	4110.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0275914	0.0306785	-0.0746234	-0.0848874	-0.0290903	-0.0321819	0.0741124	0.0853609
112.7350000	-4124.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0275668	0.0354417	0.0855567	0.0750381	-0.0290919	-0.0369885	-0.0861409	-0.0746112
113.9900000	-31.2299995	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0199857	0.0237142	0.0041368	-0.0027861	-0.0213878	-0.0251170	-0.0046752	0.0031220
115.2600000	4109.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0295302	0.0329425	-0.0745774	-0.0855397	-0.0310264	-0.0344553	0.0740591	0.0860070
116.8900000	-4123.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0295733	0.0378236	0.0862095	0.0749698	-0.0310860	-0.0393648	-0.0867942	-0.0745530
118.1450000	-31.0699997	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0216591	0.0257034	0.0044504	-0.0030986	-0.0230632	-0.0271063	-0.0049922	0.0034279
119.4750000	4108.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0316109	0.0353862	-0.0744999	-0.0862297	-0.0330883	-0.0368848	0.0739941	0.0866910
121.1300000	-4121.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0317000	0.0403664	0.0869118	0.0748765	-0.0332007	-0.0418982	-0.0874953	-0.0744728
122.4150000	-31.1100006	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0234818	0.0278467	0.0047884	-0.0034146	-0.0248713	-0.0292490	-0.0053243	0.0037438
123.6500000	4106.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0337836	0.0379263	-0.0744141	-0.0869314	-0.0352503	-0.0394255	0.0739016	0.0873877
125.2850000	-4121.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0338641	0.0429799	0.0876567	0.0747720	-0.0353650	-0.0445065	-0.0882293	-0.0743812
126.5650000	-31.0200005	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0253581	0.0300603	0.0051278	-0.0037561	-0.0267446	-0.0314671	-0.0056694	0.0040748
127.8350000	4106.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0360118	0.0405439	-0.0743218	-0.0876646	-0.0374777	-0.0420522	0.0738004	0.0880988
129.4000000	-4119.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0361241	0.0456209	0.0883266	0.0746584	-0.0376028	-0.0471526	-0.0889219	-0.0743002
130.8400000	-31.2399998	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0273873	0.0324662	0.0055152	-0.0041256	-0.0287666	-0.0338699	-0.0060586	0.0044301
132.2400000	4105.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0384800	0.0434510	-0.0742035	-0.0884708	-0.0399264	-0.0449481	0.0736833	0.0889083
133.9400000	-4118.0000000	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0386995	0.0486995	0.0891653	0.0745256	-0.0401585	-0.0502189	-0.0897642	-0.0741766
135.2300000	-31.0599995	0.0000900	0.0000900	0.0000900	0.0000900	-0.0000900	-0.0000900	-0.0000900	-0.0000900	0.0295808	0.0350610	0.0059186	-0.0045305	-0.0309634	-0.0364708	-0.0064688	0.0048369
