Thu, Oct 24, 2024
3:43:35 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
130.9200000	-30.8400002	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0043634	0.0052086	0.0007257	-0.0005538	-0.0055602	-0.0065335	-0.0013216	0.0009822
132.3300000	4103.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0062548	0.0070934	-0.0125952	-0.0146745	-0.0074524	-0.0084172	0.0120077	0.0151242
134.0300000	-4115.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0062550	0.0079206	0.0147242	0.0126319	-0.0075194	-0.0093313	-0.0153357	-0.0121084
135.3300000	-30.6900005	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0047262	0.0056411	0.0007930	-0.0006266	-0.0059129	-0.0069527	-0.0013883	0.0010508
136.7400000	4102.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0066719	0.0075894	-0.0125716	-0.0148156	-0.0078568	-0.0089006	0.0119856	0.0152533
138.4400000	-4115.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0066770	0.0084320	0.0148633	0.0125985	-0.0079329	-0.0098269	-0.0154763	-0.0120974
139.7550000	-32.1100006	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0051138	0.0060989	0.0008731	-0.0007000	-0.0062902	-0.0073987	-0.0014648	0.0011075
141.0950000	4101.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0071016	0.0081004	-0.0125489	-0.0149680	-0.0082825	-0.0094012	0.0119690	0.0153948
142.8100000	-4113.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0071154	0.0089631	0.0150198	0.0125683	-0.0083508	-0.0103321	-0.0156170	-0.0120899
144.2350000	-30.6800003	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0055272	0.0065936	0.0009508	-0.0007881	-0.0066960	-0.0078823	-0.0015369	0.0011901
145.5050000	4100.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0075566	0.0086430	-0.0125232	-0.0151276	-0.0087291	-0.0099319	0.0119540	0.0155461
147.0800000	-4112.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0075625	0.0095028	0.0151731	0.0125432	-0.0087974	-0.0108597	-0.0157678	-0.0120771
148.5150000	-30.7999992	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0059368	0.0070890	0.0010347	-0.0008716	-0.0071075	-0.0083674	-0.0016105	0.0012635
149.7850000	4099.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0080127	0.0091945	-0.0125026	-0.0152977	-0.0091883	-0.0104745	0.0119386	0.0157031
151.3600000	-4112.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0080312	0.0100686	0.0153417	0.0125157	-0.0092544	-0.0114078	-0.0159287	-0.0120698
152.7500000	-30.8299999	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0063716	0.0076080	0.0011241	-0.0009644	-0.0075208	-0.0088659	-0.0016964	0.0013397
154.0450000	4098.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0084974	0.0097615	-0.0124859	-0.0154758	-0.0096459	-0.0110196	0.0119222	0.0158578
155.6250000	-4111.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0085177	0.0106453	0.0155036	0.0124801	-0.0097021	-0.0119521	-0.0161015	-0.0120701
157.0700000	-30.8500004	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0068249	0.0081384	0.0011996	-0.0010619	-0.0079417	-0.0093817	-0.0017909	0.0014040
158.3600000	4099.0000000	0.0000150	0.0000150	0.0000150	0.0000150	-0.0000150	-0.0000150	-0.0000150	-0.0000150	0.0089885	0.0103389	-0.0124837	-0.0156622	-0.0100912	-0.0115657	0.0118926	0.0160098
