"Latest: Time (s)","Latest: Illumination (lux)"
0,766.933441162
0.05,766.933441162
0.1,766.933441162
0.15,766.933441162
0.2,766.933441162
0.25,766.933441162
0.3,766.933441162
0.35,766.933441162
0.4,766.933441162
0.45,766.933441162
0.5,766.933441162
0.55,766.933441162
0.6,766.933441162
0.65,766.933441162
0.7,766.933441162
0.75,766.933441162
0.8,766.933441162
0.85,766.933441162
0.9,766.933441162
0.95,766.933441162
1,766.933441162
1.05,766.933441162
1.1,766.933441162
1.15,766.933441162
1.2,766.933441162
1.25,766.933441162
1.3,766.933441162
1.35,766.933441162
1.4,766.933441162
1.45,766.933441162
1.5,766.933441162
1.55,766.933441162
1.6,766.933441162
1.65,766.933441162
1.7,766.933441162
1.75,766.933441162
1.8,766.933441162
1.85,766.933441162
1.9,766.933441162
1.95,766.933441162
2,766.933441162
2.05,766.933441162
2.1,766.933441162
2.15,766.933441162
2.2,766.933441162
2.25,766.933441162
2.3,766.933441162
2.35,766.933441162
2.4,766.933441162
2.45,766.933441162
2.5,766.933441162
2.55,766.933441162
2.6,766.933441162
2.65,766.933441162
2.7,766.933441162
2.75,766.933441162
2.8,766.933441162
2.85,766.933441162
2.9,766.933441162
2.95,766.933441162
3,766.933441162
3.05,766.933441162
3.1,766.933441162
3.15,766.933441162
3.2,766.933441162
3.25,766.933441162
3.3,766.933441162
3.35,766.933441162
3.4,766.933441162
3.45,766.933441162
3.5,766.933441162
3.55,766.933441162
3.6,766.933441162
3.65,766.933441162
3.7,766.933441162
3.75,766.933441162
3.8,766.933441162
3.85,766.933441162
3.9,766.933441162
3.95,766.933441162
4,766.933441162
4.05,766.933441162
4.1,766.933441162
4.15,766.933441162
4.2,766.933441162
4.25,766.933441162
4.3,766.933441162
4.35,766.933441162
4.4,766.933441162
4.45,766.933441162
4.5,766.933441162
4.55,766.933441162
4.6,766.933441162
4.65,766.933441162
4.7,766.933441162
4.75,766.933441162
4.8,766.933441162
4.85,766.933441162
4.9,766.933441162
4.95,766.933441162
5,766.933441162
5.05,766.933441162
5.1,766.933441162
5.15,766.933441162
5.2,766.933441162
5.25,766.933441162
5.3,766.933441162
5.35,766.933441162
5.4,766.933441162
5.45,766.933441162
5.5,766.933441162
5.55,766.933441162
5.6,766.933441162
5.65,766.933441162
5.7,766.933441162
5.75,766.933441162
5.8,754.972686768
5.85,740.215606689
5.9,724.530334473
5.95,709.961242676
6,694.087982178
6.05,680.071105957
6.1,666.065979004
6.15,651.87286377
6.2,638.607940674
6.25,626.658935547
6.3,613.769989014
6.35,600.693054199
6.4,587.804107666
6.45,576.407318115
6.5,565.950469971
6.55,556.609802246
6.6,546.893157959
6.65,537.740478516
6.7,528.587799072
6.75,518.694915771
6.8,509.354248047
6.85,499.63760376
6.9,491.04888916
6.95,482.460174561
7,473.68347168
7.05,466.2109375
7.1,459.114379883
7.15,452.194061279
7.2,445.285491943
7.25,438.940887451
7.3,432.584533691
7.35,425.675964355
7.4,418.203430176
7.45,410.542907715
7.5,402.330169678
7.55,395.045623779
7.6,388.68927002
7.65,382.156677246
7.7,376.176300049
7.75,370.195922852
7.8,364.967498779
7.85,359.739074707
7.9,355.26260376
7.95,351.338348389
8,347.602081299
8.05,344.794006348
8.1,342.373657227
8.15,339.189605713
8.2,335.453338623
8.25,331.54083252
8.3,327.616577148
8.35,323.316345215
8.4,318.839874268
8.45,315.103607178
8.5,310.803375244
8.55,306.691131592
8.6,302.766876221
8.65,299.030609131
8.7,295.118103027
8.75,291.569824219
8.8,286.705627441
8.85,282.969360352
8.9,278.492889404
8.95,274.004669189
9,270.080413818
9.05,266.908111572
9.1,263.923797607
9.15,262.055664062
9.2,259.623565674
9.25,257.191467285
9.3,254.583129883
9.35,252.151031494
9.4,249.354705811
9.45,247.110595703
9.5,244.678497314
9.55,242.446136475
9.6,239.262084961
9.65,236.84173584
9.7,235.161590576
9.75,233.10546875
9.8,231.789550781
9.85,229.36920166
9.9,228.053283691
9.95,226.373138428
10,224.692993164
10.05,222.636871338
10.1,220.956726074
10.15,219.652557373
10.2,217.784423828
10.25,216.292266846
10.3,214.612121582
10.35,213.860168457
10.4,211.992034912
10.45,210.687866211
10.5,209.195709229
10.55,208.067779541
10.6,206.199645996
10.65,204.895477295
10.7,203.591308594
10.75,202.287139893
10.8,200.606994629
10.85,199.479064941
10.9,197.798919678
10.95,196.118774414
11,194.814605713
11.05,193.498687744
11.1,192.382507324
11.15,191.078338623
11.2,189.762420654
11.25,188.646240234
11.3,187.342071533
11.35,186.590118408
11.4,185.849914551
11.45,185.285949707
11.5,184.533996582
11.55,183.981781006
11.6,183.229827881
11.65,182.665863037
11.7,181.737670898
11.75,181.361694336
11.8,179.869537354
11.85,179.117584229
11.9,178.377380371
11.95,177.813415527
12,177.437438965
12.05,176.885223389
12.1,176.509246826
12.15,175.56930542
12.2,175.193328857
12.25,175.017089844
12.3,174.641113281
12.35,174.265136719
12.4,173.513183594
12.45,172.772979736
12.5,172.397003174
12.55,171.645050049
12.6,170.71685791
12.65,169.964904785
12.7,168.660736084
12.75,168.660736084
12.8,167.544555664
12.85,167.168579102
12.9,166.416625977
12.95,165.676422119
13,164.548492432
13.05,163.996276855
13.1,162.680358887
13.15,161.940155029
13.2,161.000213623
13.25,160.624237061
13.3,160.072021484
13.35,159.132080078
13.4,158.756103516
13.45,158.015899658
13.5,156.711730957
13.55,156.147766113
13.6,155.395812988
13.65,154.46762085
13.7,153.715667725
13.75,153.527679443
13.8,152.599487305
13.85,152.599487305
13.9,152.035522461
13.95,151.84753418
14,151.295318604
