"Latest: Time (s)","Latest: Illumination (lux)"
0,44737.9046631
0.05,44691.0003662
0.1,44691.0003662
0.15,44691.0003662
0.2,44691.0003662
0.25,44644.0960693
0.3,44644.0960693
0.35,44644.0960693
0.4,44644.0960693
0.45,44506.3146973
0.5,44087.1075439
0.55,43711.8731689
0.6,43292.6660156
0.65,42873.4588623
0.7,42454.251709
0.75,41988.1402588
0.8,41662.7416992
0.85,41337.3431396
0.9,40918.1359863
0.95,40542.9016113
1,40076.7901611
1.05,39704.4873047
1.1,39379.0887451
1.15,38959.8815918
1.2,38353.057251
1.25,37702.2601318
1.3,37142.3400879
1.35,36863.8458252
1.4,36629.3243408
1.45,36116.3085938
1.5,35697.1014404
1.55,35230.9899902
1.6,34811.7828369
1.65,34392.5756836
1.7,34067.177124
1.75,33738.8470459
1.8,33366.5441895
1.85,33134.9542236
1.9,32806.6241455
1.95,32434.3212891
2,32108.9227295
2.05,31642.8112793
2.1,31223.604126
2.15,30804.3969727
2.2,30385.1898193
2.25,29919.0783691
2.3,29499.8712158
2.35,28939.9511719
2.4,28286.2225342
2.45,27588.5211182
2.5,26843.9154053
2.55,26049.473877
2.6,25445.5810547
2.65,24932.5653076
2.7,24513.3581543
2.75,24000.3424072
2.8,23487.3266602
2.85,22880.5023193
2.9,22367.4865723
2.95,21857.4023438
3,21297.4822998
3.05,20690.657959
3.1,20224.5465088
3.15,19805.3393555
3.2,19292.3236084
3.25,18873.1164551
3.3,18313.1964111
3.35,17800.1806641
3.4,17243.1921387
3.45,16823.9849854
3.5,16495.6549072
3.55,16123.3520508
3.6,15844.8577881
3.65,15425.6506348
3.7,14959.5391846
3.75,14493.4277344
3.8,13980.4119873
3.85,13608.1091309
3.9,13279.7790527
3.95,13001.28479
4,12769.6948242
4.05,12488.269043
4.1,12162.8704834
4.15,11975.2532959
4.2,11743.6633301
4.25,11509.1418457
4.3,11277.5518799
4.35,11089.9346924
4.4,10858.3447266
4.45,10623.8232422
4.5,10439.1375732
4.55,10204.6160889
4.6,10019.9304199
4.65,9832.31323242
4.7,9644.69604492
4.75,9460.01037598
4.8,9225.4888916
4.85,8946.99462891
4.9,8712.47314453
4.95,8480.88317871
5,8293.26599121
5.05,8108.58032227
5.1,7920.96313477
5.15,7783.1817627
5.2,7642.46887207
5.25,7548.66027832
5.3,7454.85168457
5.35,7317.0703125
5.4,7176.35742188
5.45,6988.74023438
5.5,6804.05456543
5.55,6663.3416748
5.6,6522.62878418
5.65,6337.94311523
5.7,6244.13452148
5.75,6103.42163086
5.8,5918.73596191
5.85,5824.92736816
5.9,5684.21447754
5.95,5543.50158691
6,5405.72021484
6.05,5265.00732422
6.1,5124.29443359
6.15,4986.51306152
6.2,4939.60876465
6.25,4798.89587402
6.3,4658.1829834
6.35,4567.3059082
6.4,4426.59301758
6.45,4285.88012695
6.5,4192.0715332
6.55,4054.29016113
6.6,4007.38586426
6.65,3866.67297363
6.7,3819.76867676
6.75,3681.98730469
6.8,3635.08300781
6.85,3541.27441406
6.9,3447.46582031
6.95,3400.56152344
7,3306.75292969
7.05,3306.75292969
7.1,3259.84863281
7.15,3168.97155762
7.2,3122.06726074
7.25,3122.06726074
7.3,3075.16296387
7.35,2981.35437012
7.4,2934.45007324
7.45,2887.54577637
7.5,2793.73718262
7.55,2749.7644043
7.6,2702.86010742
7.65,2655.95581055
7.7,2655.95581055
7.75,2562.1472168
7.8,2562.1472168
7.85,2515.24291992
7.9,2468.33862305
7.95,2421.43432617
8,2374.5300293
8.05,2330.55725098
8.1,2283.6529541
8.15,2236.74865723
8.2,2189.84436035
8.25,2142.94006348
8.3,2096.0357666
8.35,2049.13146973
8.4,2002.22717285
8.45,2002.22717285
8.5,1955.32287598
8.55,1908.4185791
8.6,1864.44580078
8.65,1817.54150391
8.7,1817.54150391
8.75,1817.54150391
8.8,1770.63720703
8.85,1770.63720703
8.9,1723.73291016
8.95,1676.82861328
9,1629.92431641
9.05,1629.92431641
9.1,1583.02001953
9.15,1583.02001953
9.2,1583.02001953
9.25,1536.11572266
9.3,1489.21142578
9.35,1442.30712891
9.4,1442.30712891
9.45,1442.30712891
9.5,1398.33435059
9.55,1398.33435059
9.6,1398.33435059
9.65,1351.43005371
9.7,1304.52575684
9.75,1304.52575684
9.8,1257.62145996
9.85,1257.62145996
9.9,1210.71716309
9.95,1210.71716309
10,1210.71716309
10.05,1163.81286621
10.1,1163.81286621
10.15,1163.81286621
10.2,1116.90856934
10.25,1116.90856934
10.3,1070.00427246
10.35,1070.00427246
10.4,1070.00427246
10.45,1070.00427246
10.5,1023.09997559
10.55,1023.09997559
10.6,1023.09997559
10.65,976.195678711
10.7,932.222900391
10.75,932.222900391
10.8,932.222900391
10.85,885.318603516
10.9,885.318603516
10.95,885.318603516
11,885.318603516
11.05,838.414306641
11.1,838.414306641
11.15,838.414306641
11.2,791.510009766
11.25,791.510009766
11.3,791.510009766
11.35,791.510009766
11.4,744.605712891
11.45,744.605712891
11.5,697.701416016
11.55,697.701416016
11.6,697.701416016
11.65,650.797119141
11.7,650.797119141
11.75,650.797119141
11.8,650.797119141
11.85,603.892822266
11.9,603.892822266
11.95,603.892822266
12,603.892822266
12.05,556.988525391
12.1,556.988525391
12.15,556.988525391
12.2,556.988525391
12.25,556.988525391
12.3,513.01574707
12.35,513.01574707
12.4,513.01574707
12.45,513.01574707
12.5,513.01574707
12.55,513.01574707
12.6,513.01574707
12.65,513.01574707
12.7,513.01574707
12.75,513.01574707
12.8,513.01574707
12.85,513.01574707
12.9,513.01574707
12.95,513.01574707
13,513.01574707
13.05,513.01574707
13.1,513.01574707
13.15,513.01574707
13.2,513.01574707
13.25,513.01574707
13.3,513.01574707
13.35,513.01574707
13.4,513.01574707
13.45,513.01574707
13.5,513.01574707
13.55,513.01574707
13.6,513.01574707
13.65,513.01574707
13.7,513.01574707
13.75,513.01574707
13.8,513.01574707
13.85,513.01574707
13.9,513.01574707
13.95,513.01574707
14,513.01574707
14.05,513.01574707
14.1,513.01574707
14.15,513.01574707
14.2,513.01574707
14.25,513.01574707
14.3,513.01574707
14.35,513.01574707
14.4,513.01574707
14.45,513.01574707
14.5,513.01574707
14.55,513.01574707
14.6,513.01574707
14.65,513.01574707
14.7,513.01574707
14.75,513.01574707
14.8,513.01574707
14.85,513.01574707
14.9,513.01574707
14.95,513.01574707
15,513.01574707
15.05,513.01574707
15.1,513.01574707
15.15,513.01574707
15.2,513.01574707
15.25,513.01574707
15.3,513.01574707
15.35,513.01574707
15.4,513.01574707
15.45,513.01574707
15.5,513.01574707
15.55,513.01574707
15.6,513.01574707
15.65,513.01574707
15.7,513.01574707
15.75,513.01574707
15.8,513.01574707
15.85,513.01574707
15.9,513.01574707
15.95,513.01574707
16,513.01574707
16.05,513.01574707
16.1,513.01574707
16.15,513.01574707
16.2,513.01574707
16.25,513.01574707
16.3,513.01574707
16.35,513.01574707
16.4,513.01574707
16.45,513.01574707
16.5,513.01574707
16.55,513.01574707
16.6,513.01574707
16.65,513.01574707
16.7,513.01574707
16.75,513.01574707
16.8,513.01574707
16.85,513.01574707
16.9,513.01574707
16.95,513.01574707
17,513.01574707
17.05,513.01574707
17.1,513.01574707
17.15,513.01574707
17.2,513.01574707
17.25,513.01574707
17.3,513.01574707
17.35,513.01574707
17.4,513.01574707
17.45,513.01574707
17.5,513.01574707
17.55,513.01574707
17.6,513.01574707
17.65,513.01574707
17.7,513.01574707
17.75,513.01574707
17.8,513.01574707
17.85,513.01574707
17.9,513.01574707
17.95,513.01574707
18,513.01574707
18.05,513.01574707
18.1,513.01574707
18.15,513.01574707
18.2,513.01574707
18.25,513.01574707
18.3,513.01574707
18.35,513.01574707
18.4,513.01574707
18.45,513.01574707
18.5,513.01574707
18.55,513.01574707
18.6,513.01574707
18.65,513.01574707
18.7,513.01574707
18.75,513.01574707
18.8,513.01574707
18.85,513.01574707
18.9,513.01574707
18.95,513.01574707
19,513.01574707
19.05,513.01574707
19.1,513.01574707
19.15,513.01574707
19.2,513.01574707
19.25,513.01574707
19.3,513.01574707
19.35,513.01574707
19.4,513.01574707
19.45,513.01574707
19.5,513.01574707
19.55,513.01574707
19.6,513.01574707
19.65,513.01574707
19.7,513.01574707
19.75,513.01574707
19.8,513.01574707
19.85,513.01574707
19.9,513.01574707
19.95,513.01574707
20,513.01574707
20.05,513.01574707
20.1,513.01574707
20.15,513.01574707
20.2,513.01574707
20.25,513.01574707
20.3,513.01574707
20.35,513.01574707
20.4,513.01574707
20.45,513.01574707
20.5,513.01574707
20.55,513.01574707
20.6,513.01574707
20.65,513.01574707
20.7,513.01574707
20.75,513.01574707
20.8,513.01574707
20.85,513.01574707
20.9,513.01574707
20.95,513.01574707
21,513.01574707
21.05,513.01574707
21.1,513.01574707
21.15,513.01574707
21.2,513.01574707
21.25,513.01574707
21.3,513.01574707
21.35,513.01574707
21.4,513.01574707
21.45,513.01574707
21.5,513.01574707
21.55,513.01574707
21.6,513.01574707
21.65,513.01574707
21.7,513.01574707
21.75,513.01574707
21.8,513.01574707
21.85,513.01574707
21.9,513.01574707
21.95,513.01574707
22,513.01574707
22.05,513.01574707
22.1,513.01574707
22.15,513.01574707
22.2,513.01574707
22.25,513.01574707
22.3,513.01574707
22.35,513.01574707
22.4,513.01574707
22.45,513.01574707
22.5,513.01574707
22.55,513.01574707
22.6,513.01574707
22.65,513.01574707
22.7,513.01574707
22.75,513.01574707
22.8,513.01574707
22.85,513.01574707
22.9,513.01574707
22.95,513.01574707
23,513.01574707
23.05,513.01574707
23.1,513.01574707
23.15,513.01574707
23.2,513.01574707
23.25,513.01574707
23.3,513.01574707
23.35,513.01574707
23.4,513.01574707
23.45,513.01574707
23.5,513.01574707
23.55,513.01574707
23.6,513.01574707
23.65,513.01574707
23.7,513.01574707
23.75,513.01574707
23.8,513.01574707
23.85,513.01574707
23.9,513.01574707
23.95,513.01574707
24,513.01574707
24.05,513.01574707
24.1,513.01574707
24.15,513.01574707
24.2,513.01574707
